,org_id,city,average_bill,rating,rubric,coffee_to_go,food_delivery,breakfast,summer_terrace,wi_fi,business_lunch,payment_by_credit_card,car_park,gift_certificate,karaoke,free_delivery,music,pets,air_conditioning,view_on_ostankino_tower
1,16076540698036998306,msk,500.0,4.375,Быстрое питание,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2,8129364761615040323,msk,500.0,4.0,Кофейня,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
4,13418544315327784420,msk,500.0,4.409090909090909,Кофейня,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
5,4997872545011433005,msk,500.0,4.541666666666667,Кофейня,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
8,11913692756639492916,spb,500.0,3.6,Столовая,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
9,17739408339297875651,spb,500.0,4.2762186115214185,Быстрое питание,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
10,12608002566984191599,spb,500.0,3.4285714285714284,Кофейня,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
11,1456099975270739091,spb,500.0,4.748091603053434,"Бар, паб",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
13,6647514245407759924,spb,500.0,5.0,Кофейня,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
14,17633878694798900807,spb,500.0,4.235294117647058,"Булочная, пекарня",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
15,2459140363933845573,spb,500.0,3.8181818181818175,Столовая,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
17,3427860559993310283,spb,500.0,4.143790849673203,Быстрое питание,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
23,1701381697561871394,msk,500.0,4.330645161290323,Ресторан,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
27,4762661950903758026,msk,500.0,,"Бар, паб",0,1,0,1,1,1,1,0,0,1,0,0,0,0,0
28,5025979406885032495,msk,500.0,4.552083333333333,Кофейня,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
36,4944432192176706595,msk,500.0,3.87037037037037,Пиццерия,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
37,4232206329012854847,msk,500.0,4.777777777777779,Пиццерия,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
40,6265566891723666810,msk,500.0,4.647058823529412,"Бар, паб",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
41,405073974735366625,msk,500.0,3.688172043010753,Быстрое питание,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
42,3683726235202498687,msk,500.0,4.178571428571429,"Бар, паб",1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
44,10488947588341470487,msk,500.0,4.506849315068493,"Бар, паб",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
48,16299006089810525414,spb,500.0,4.565217391304348,"Бар, паб",0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
49,16383456493176027117,spb,500.0,5.0,"Бар, паб",0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
50,16537371248113641019,spb,500.0,,Кафе,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
52,2868582601565583887,spb,500.0,,Быстрое питание,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
55,11385181953860379238,spb,500.0,3.7540983606557377,Суши-бар,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0
57,12457223824514896947,spb,500.0,3.615384615384616,Быстрое питание,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
59,14925311613123379598,spb,500.0,3.4444444444444446,Быстрое питание,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
61,5546523011023557581,msk,1000.0,4.770491803278688,Кондитерская,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
71,15154411357003883006,spb,1000.0,4.0,Кафе,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
72,18232923824322101006,spb,1000.0,4.420634920634921,Ресторан,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
73,1284373678937516924,spb,1000.0,4.596858638743456,"Бар, паб",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
79,12528265628481866834,msk,2000.0,4.590909090909091,Ресторан,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
82,9914304435984403342,msk,3500.0,4.364532019704433,Ресторан,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1
83,17996246497924135304,msk,3500.0,4.0,Ресторан,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
84,16740346211233081872,msk,1500.0,4.615384615384615,Кафе,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
87,10218188754751518807,msk,1500.0,,Ресторан,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
88,13061960500971819486,spb,1500.0,,Ресторан,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
89,16220355259840208527,spb,1500.0,,Ресторан,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
91,201916301651089280,spb,1500.0,,Ресторан,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0
93,11954596393732168677,spb,2500.0,,Ресторан,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
102,1348775711249826036,msk,,4.333117303953338,Быстрое питание,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1
104,9781626087650406408,msk,,3.97125748502994,Быстрое питание,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1
111,12716872272534297880,msk,,4.264578313253011,Быстрое питание,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1
115,17888194915093826451,msk,,5.0,Быстрое питание,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
118,12721706205375439697,msk,,,Ресторан,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0
120,15737408359619810703,spb,,3.891304347826087,Быстрое питание,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
122,14516149253208444463,spb,,3.7142857142857135,Кафе,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
129,11369733972783691001,msk,500.0,4.2,Быстрое питание,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1
130,12650994004050943937,spb,500.0,4.571428571428571,Кофейня,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
132,13823775646442702313,spb,500.0,4.684210526315789,Ресторан,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
134,13251493732474497463,spb,500.0,4.098039215686274,Пиццерия,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
137,1111949927039847465,msk,1000.0,4.5,Ресторан,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1
138,6125095817359360344,spb,1000.0,4.439024390243904,Ресторан,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
139,9318073909283185867,msk,1500.0,4.372093023255814,Кафе,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
140,13606376591327150318,msk,1500.0,4.8,Ресторан,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1
142,16857189609406356681,msk,1500.0,4.318181818181818,"Бар, паб",1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
143,3899411524609524779,msk,2500.0,4.623880597014925,Кофейня,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
145,2361594895494905065,spb,500.0,4.885350318471337,Ресторан,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
146,6606060964829342603,msk,1000.0,3.0,Суши-бар,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
148,10508783494839262884,spb,,4.3710610932475875,Ресторан,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0
151,14250359509752300561,msk,500.0,3.96,"Булочная, пекарня",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
152,6893586768682446445,msk,500.0,4.809523809523808,Кофейня,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
154,6646230653238060127,msk,500.0,3.3,"Булочная, пекарня",1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
155,15478674477930951438,msk,500.0,4.857142857142857,Кофе с собой,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
